filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
5,Artificial_minority-share_4_minority-shareperiodic_aobhs_uob.csv,1940,87545,10393,122,0.1573,0.9408,0.2695,0.9408,0.8939,0.9171
5,Artificial_minority-share_4_minority-sharesudden_aobhs_uob.csv,19766,72460,7480,294,0.7255,0.9853,0.8357,0.9853,0.9064,0.9451
5,Artificial_shapeshift_1_shapeshiftincremental_aobhs_uob.csv,9071,73032,17089,808,0.3468,0.9182,0.5034,0.9182,0.8104,0.8626
5,Artificial_shapeshift_1_shapeshiftperiodic_aobhs_uob.csv,9301,73001,17135,563,0.3518,0.9429,0.5125,0.9429,0.8099,0.8739
5,Artificial_shapeshift_1_shapeshiftsudden_aobhs_uob.csv,9197,71805,18329,669,0.3341,0.9322,0.4919,0.9322,0.7966,0.8618
5,Artificial_shapeshift_2_shapeshiftincremental_aobhs_uob.csv,19395,61806,18248,551,0.5152,0.9724,0.6736,0.9724,0.7721,0.8664
5,Artificial_shapeshift_2_shapeshiftperiodic_aobhs_uob.csv,19472,60921,19262,345,0.5027,0.9826,0.6651,0.9826,0.7598,0.864
5,Artificial_shapeshift_2_shapeshiftsudden_aobhs_uob.csv,19498,60276,19748,478,0.4968,0.9761,0.6585,0.9761,0.7532,0.8574
5,Artificial_shapeshift_3_shapeshiftincremental_aobhs_uob.csv,29184,53126,17161,529,0.6297,0.9822,0.7674,0.9822,0.7558,0.8616
5,Artificial_shapeshift_3_shapeshiftperiodic_aobhs_uob.csv,29533,52474,17618,375,0.6263,0.9875,0.7665,0.9875,0.7486,0.8598
5,Artificial_shapeshift_3_shapeshiftsudden_aobhs_uob.csv,29172,52569,17688,571,0.6225,0.9808,0.7616,0.9808,0.7482,0.8567
5,Artificial_shapeshift_4_shapeshiftincremental_aobhs_uob.csv,39443,45112,14870,575,0.7262,0.9856,0.8363,0.9856,0.7521,0.861
5,Artificial_shapeshift_4_shapeshiftperiodic_aobhs_uob.csv,39512,45516,14496,476,0.7316,0.9881,0.8407,0.9881,0.7584,0.8657
5,Artificial_shapeshift_4_shapeshiftsudden_aobhs_uob.csv,39445,44701,15281,573,0.7208,0.9857,0.8327,0.9857,0.7452,0.8571
5,Artificial_splitting-clusters_1_splitting-clustersincremental_aobhs_uob.csv,9268,77113,13012,607,0.416,0.9385,0.5765,0.9385,0.8556,0.8961
5,Artificial_splitting-clusters_1_splitting-clustersperiodic_aobhs_uob.csv,9426,81947,8128,499,0.537,0.9497,0.6861,0.9497,0.9098,0.9295
5,Artificial_splitting-clusters_1_splitting-clusterssudden_aobhs_uob.csv,9240,77145,12974,641,0.416,0.9351,0.5758,0.9351,0.856,0.8947
5,Artificial_splitting-clusters_2_splitting-clustersincremental_aobhs_uob.csv,19453,68112,11874,561,0.621,0.972,0.7578,0.972,0.8515,0.9098
5,Artificial_splitting-clusters_2_splitting-clustersperiodic_aobhs_uob.csv,19476,71390,8600,534,0.6937,0.9733,0.81,0.9733,0.8925,0.932
